tier1_id,tier1_name
15,Adams Central Community Schools
25,North Adams Community Schools
35,South Adams Schools
125,MSD Southwest Allen County Schls
225,Northwest Allen County Schools
235,Fort Wayne Community Schools
255,East Allen County Schools
365,Bartholomew Con School Corp
370,Flat Rock-Hawcreek School Corp
395,Benton Community School Corp
515,Blackford County Schools
615,Western Boone Co Com Sch Dist
630,Zionsville Community Schools
665,Lebanon Community School Corp
670,Brown County School Corporation
750,Carroll Consolidated School Corp
755,Delphi Community School Corp
775,Pioneer Regional School Corp
815,Lewis Cass Schools 
875,Logansport Community Sch Corp
935,Borden-Henryville School Corporation
945,Silver Creek School Corporation
1000,Clarksville Community School Corp
1010,Greater Clark County Schools
1125,Clay Community Schools
1150,Clinton Central School Corporation
1160,Clinton Prairie School Corporation
1170,Community Schools of Frankfort
1180,Rossville Con School District
1300,Crawford County Community Sch Corp
1315,Barr-Reeve Community Schools Inc
1375,North Daviess Com Schools
1405,Washington Community Schools
1560,Sunman-Dearborn Com Sch Corp
1600,South Dearborn Community Sch Corp
1620,Lawrenceburg Community School Corp
1655,Decatur County Community Schools
1730,Greensburg Community Schools
1805,DeKalb Co Eastern Com Sch Dist
1820,Garrett-Keyser-Butler Com Sch Corp
1835,DeKalb Co Ctl United Sch Dist
1875,Delaware Community School Corp
1885,Wes-Del Community Schools
1895,Liberty-Perry Community Sch Corp
1900,Cowan Community School Corp
1910,Yorktown Community Schools
1940,Daleville Community Schools
1970,Muncie Community Schools
2040,Northeast Dubois Co Sch Corp
2100,Southeast Dubois Co Sch Corp
2110,Southwest Dubois Co Sch Corp
2120,Greater Jasper Consolidated Schs
2155,Fairfield Community Schools
2260,Baugo Community Schools
2270,Concord Community Schools
2275,Middlebury Community Schools
2285,Wa-Nee Community Schools
2305,Elkhart Community Schools
2315,Goshen Community Schools
2395,Fayette County School Corporation
2400,New Albany-Floyd Co Con Sch
2435,Attica Consolidated School Corp
2440,Covington Community School Corp
2455,Southeast Fountain School Corp
2475,Franklin County Community Sch Corp
2645,Rochester Community School Corp
2650,Caston School Corporation
2725,East Gibson School Corporation
2735,North Gibson School Corporation
2765,South Gibson School Corporation
2815,Eastbrook Community Sch Corp
2825,Madison-Grant United School Corp
2855,Mississinewa Community School Corp
2865,Marion Community Schools
2920,Bloomfield School District
2940,Eastern Greene Schools
2950,Linton-Stockton School Corporation
2960,MSD Shakamak Schools
2980,White River Valley School District
3005,Hamilton Southeastern Schools
3025,Hamilton Heights School Corp
3030,Westfield-Washington Schools
3055,Sheridan Community Schools
3060,Carmel Clay Schools
3070,Noblesville Schools
3115,Southern Hancock Co Com Sch Corp
3125,Greenfield-Central Com Schools
3135,Mt Vernon Community School Corp
3145,Eastern Hancock Co Com Sch Corp
3160,Lanesville Community School Corp
3180,North Harrison Com School Corp
3190,South Harrison Com Schools
3295,North West Hendricks Schools
3305,Brownsburg Community School Corp
3315,Avon Community School Corp
3325,Danville Community School Corp
3330,Plainfield Community School Corp
3335,Mill Creek Community Sch Corp
3405,Blue River Valley Schools
3415,South Henry School Corp
3435,Shenandoah School Corporation
3445,New Castle Community School Corp
3455,C A Beard Memorial School Corp
3460,Taylor Community School Corp
3470,Northwestern School Corp
3480,Eastern Howard School Corporation
3490,Western School Corporation
3500,Kokomo School Corporation
3625,Huntington Co Com Sch Corp
3640,Medora Community School Corp
3675,Seymour Community Schools
3695,Brownstown Cnt Com Sch Corp
3710,Crothersville Community Schools
3785,Kankakee Valley School Corp
3815,Rensselaer Central School Corp
