tier1_id,tier2_id,tier2_name
15,13,Adams Central Middle School
15,20,Adams Central Elementary School
15,21,Adams Central High School
25,29,Bellmont Senior High School
25,33,Bellmont Middle School
25,37,Bellmont Elementary 
35,17,South Adams Middle School
35,23,South Adams High School
35,25,South Adams Elementary School
125,45,Aboite Elementary School
125,46,Whispering Meadow Elementary Sch
125,47,Homestead Senior High School
125,63,Summit Middle School
125,64,Lafayette Meadow School
125,67,Woodside Middle School
125,68,Haverhill Elementary School
125,71,Deer Ridge Elementary
125,72,Covington Elementary School
225,69,Arcola School
225,79,Maple Creek Middle School
225,87,Hickory Center Elementary School
225,89,Huntertown Elementary School
225,90,Carroll Middle School
225,91,Carroll High School
225,92,Perry Hill Elementary School
225,94,Oak View Elementary School
225,95,Cedar Canyon Elementary School
225,96,Eel River Elementary School
225,145,Allen Co Youth Services Center
235,93,Anthis Career Center
235,100,Allen Co Juvenile Center
235,101,North Side High School
235,102,R Nelson Snider High School
235,105,South Side High School
235,107,Blackhawk Middle School
235,118,Jeff H Towles Intermediate School
235,119,Jefferson Middle School
235,121,Kekionga Middle School
235,125,Lakeside Middle School
235,126,Lane Middle School
235,127,Memorial Park Middle School
235,128,Miami Middle School
235,129,Northwood Middle School
235,133,Portage Middle School
235,134,Weisser Park Elementary School
235,136,Fairfield Elementary School
235,137,Merle J Abbett Elementary School
235,141,Adams Elementary School
235,149,Bloomingdale Elementary School
235,151,Bunche Elementary School
235,153,Brentwood Elementary School
235,154,Fred H Croninger Elementary School
235,157,Forest Park Elementary School
235,161,Franke Park Elementary School
235,162,Glenwood Park Elementary School
235,164,J Wilbur Haley Elementary School
235,177,Wayne High School
235,178,Harrison Hill Elementary School
235,186,Mabel K Holland Elementary School
235,189,Indian Village Elementary School
235,193,John S Irwin Elementary School
235,197,Lindley Elementary School
235,205,Maplewood Elementary School
235,209,Willard Shambaugh Elementary Sch
235,217,Northcrest Elementary School
235,219,Northrop High School
235,221,Francis M Price Elementary School
235,233,Saint Joseph Central School
235,239,Robert C Harris Elementary School
235,240,Shawnee Middle School
235,241,Whitney M Young Early Childhood
235,249,Levan R Scott Academy
235,253,South Wayne Elementary School
235,257,Study Elementary School
235,265,Washington Elementary School
235,269,Washington Center Elementary Sch
235,270,Lincoln Elementary School
235,273,Waynedale Elementary School
235,275,Arlington Elementary School
255,43,Prince Chapman Academy
255,49,Leo Junior/Senior High School
255,53,Leo Elementary School
255,81,Heritage Jr/Sr High School
255,83,New Haven Primary School
255,281,Heritage Elementary School
255,285,Woodlan Jr/Sr High School
255,291,Cedarville Elementary School
255,294,Paul Harding Jr High School
255,297,New Haven Jr/Sr High School
255,305,New Haven Intermediate School
255,310,Southwick Elementary School
255,318,EACS Early Childhood Preschool
255,323,Woodlan Elementary School
255,394,East Allen University
365,328,Clifty Creek Elementary School
365,346,CSA Lincoln Campus
365,353,Mount Healthy Elementary School
365,354,Richard L Johnson Early Educ Cntr
365,357,Parkside Elementary School
365,363,W D Richards Elementary School
365,366,Rockcreek Elementary School
365,369,Lillian Schmitt Elementary School
365,371,L F Smith Elementary
365,375,CSA Fodrea Campus
365,377,Taylorsville Elementary School
365,387,Columbus Area Career Connection
365,390,Central Middle School
365,392,Southside Elementary School
365,395,Northside Middle School
365,397,Columbus North High School
365,399,Columbus East High School
370,409,Hope Elementary School
370,410,Hauser Jr-Sr High School
395,421,Otterbein Elementary School
395,433,Boswell Elementary School
395,445,Benton Central Jr-Sr High School
395,446,Prairie Crossing Elementary School
515,485,Montpelier School
515,489,Blackford Jr-Sr High School
515,494,Blackford Intermediate School
515,501,North Side Elementary School
615,521,Granville Wells Elementary School
615,537,Thorntown Elementary School
615,539,Western Boone Jr-Sr High School
630,510,Zionsville West Middle School
630,511,Zionsville Middle School
630,512,Zionsville Community High School
630,514,Eagle Elementary School
630,517,Zionsville Pleasant View Elem Sch
630,541,Union Elementary School
630,542,Stonegate Elementary
630,544,Boone Meadow
665,534,Perry Worth Elementary School
665,553,Lebanon Senior High School
665,557,Lebanon Middle School
665,561,Central Elementary School
665,565,Harney Elementary School
665,569,Hattie B Stokes Elementary School
670,571,Brown County Intermediate School
670,573,Brown County High School
670,577,Van Buren Elementary School
670,581,Helmsburg Elementary School
670,585,Sprunica Elementary School
670,587,Brown County Junior High
750,621,Carroll Senior High School
750,623,Carroll Junior High School
750,629,Carroll Elementary School
755,609,Delphi Community Middle School
755,637,Delphi Community High School
755,641,Delphi Community Elementary School
775,645,Pioneer Jr-Sr High School
